consecutivo;banco;minplazo;maxplazo;minmonto;maxmonto;tasa;fecha
1;1;30;59;300.000;30.000.000;0.9;10/11/2021
2;1;30;59;30.000.001;150.000.000;1.2;10/11/2021
3;1;30;59;150.000.001;500.000.000;1.6;10/11/2021
4;1;30;59;500.000.001;50.000.000.100;2;10/11/2021
5;1;60;89;300.000;30.000.000;1.6;10/11/2021
6;1;60;89;30.000.001;150.000.000;1.9;10/11/2021
7;1;60;89;150.000.001;500.000.000;2.2;10/11/2021
8;1;60;89;500.000.001;50.000.000.100;2.3;10/11/2021
9;1;90;119;300.000;30.000.000;2.1;10/11/2021
10;1;90;119;30.000.001;150.000.000;2.2;10/11/2021
11;1;90;119;150.000.001;500.000.000;2.3;10/11/2021
12;1;90;119;500.000.001;50.000.000.100;2.4;10/11/2021
13;1;120;149;300.000;30.000.000;2.2;10/11/2021
14;1;120;149;30.000.001;150.000.000;2.3;10/11/2021
15;1;120;149;150.000.001;500.000.000;2.4;10/11/2021
16;1;120;149;500.000.001;50.000.000.100;2.5;10/11/2021
17;1;150;179;300.000;30.000.000;2.4;10/11/2021
18;1;150;179;30.000.001;150.000.000;2.5;10/11/2021
19;1;150;179;150.000.001;500.000.000;2.6;10/11/2021
20;1;150;179;500.000.001;50.000.000.100;2.7;10/11/2021
21;1;180;209;300.000;30.000.000;2.5;10/11/2021
22;1;180;209;30.000.001;150.000.000;2.6;10/11/2021
23;1;180;209;150.000.001;500.000.000;2.7;10/11/2021
24;1;180;209;500.000.001;50.000.000.100;2.8;10/11/2021
25;1;210;239;300.000;30.000.000;2.6;10/11/2021
26;1;210;239;30.000.001;150.000.000;2.7;10/11/2021
27;1;210;239;150.000.001;500.000.000;2.8;10/11/2021
28;1;210;239;500.000.001;50.000.000.100;2.9;10/11/2021
29;1;240;269;300.000;30.000.000;2.7;10/11/2021
30;1;240;269;30.000.001;150.000.000;2.8;10/11/2021
31;1;240;269;150.000.001;500.000.000;2.9;10/11/2021
32;1;240;269;500.000.001;50.000.000.100;3;10/11/2021
33;1;270;359;300.000;30.000.000;2.8;10/11/2021
34;1;270;359;30.000.001;150.000.000;2.9;10/11/2021
35;1;270;359;150.000.001;500.000.000;3;10/11/2021
36;1;270;359;500.000.001;50.000.000.100;3.1;10/11/2021
37;1;360;3600;300.000;30.000.000;3.1;10/11/2021
38;1;360;3600;30.000.001;150.000.000;3.2;10/11/2021
39;1;360;3600;150.000.001;500.000.000;3.3;10/11/2021
40;1;360;3600;500.000.001;50.000.000.100;3.4;10/11/2021
41;2;0;60;300.000;10.000.000.000;0.5;10/11/2021
42;2;61;89;300.000;10.000.000.000;1;10/11/2021
43;2;90;179;300.000;10.000.000.000;2.75;10/11/2021
44;2;180;359;300.000;10.000.000.000;3;10/11/2021
45;2;360;539;300.000;10.000.000.000;3.25;10/11/2021
46;2;540;5400;300.000;10.000.000.000;3.5;10/11/2021
47;3;30;50;1.000.000;99.000.000;0.05;10/11/2021
48;3;30;50;100.000.000;499.000.000;0.05;10/11/2021
49;3;30;50;500.000.000;5.000.000.000;0.05;10/11/2021
50;3;51;80;1.000.000;99.000.000;0.05;10/11/2021
51;3;51;80;100.000.000;499.000.000;0.05;10/11/2021
52;3;51;80;500.000.000;5.000.000.000;0.05;10/11/2021
53;3;81;150;1.000.000;99.000.000;0.45;10/11/2021
54;3;81;150;100.000.000;499.000.000;0.75;10/11/2021
55;3;81;150;500.000.000;5.000.000.000;0.95;10/11/2021
56;3;90;90;1.000.000;99.000.000;3.1;10/11/2021
57;3;90;90;100.000.000;499.000.000;3.1;10/11/2021
58;3;90;90;500.000.000;5.000.000.000;3.1;10/11/2021
59;3;151;270;1.000.000;99.000.000;3.7;10/11/2021
60;3;151;270;100.000.000;499.000.000;3.75;10/11/2021
61;3;151;270;500.000.000;5.000.000.000;3.8;10/11/2021
62;3;271;539;1.000.000;99.000.000;4.45;10/11/2021
63;3;271;539;100.000.000;499.000.000;4.5;10/11/2021
64;3;271;539;500.000.000;5.000.000.000;4.6;10/11/2021
65;3;540;719;1.000.000;99.000.000;5.3;10/11/2021
66;3;540;719;100.000.000;499.000.000;5.3;10/11/2021
67;3;540;719;500.000.000;5.000.000.000;5.3;10/11/2021
68;3;720;1079;1.000.000;99.000.000;5.6;10/11/2021
69;3;720;1079;100.000.000;499.000.000;5.6;10/11/2021
70;3;720;1079;500.000.000;5.000.000.000;5.6;10/11/2021
71;3;1080;10800;1.000.000;99.000.000;5.9;10/11/2021
72;3;1080;10800;100.000.000;499.000.000;5.9;10/11/2021
73;3;1080;10800;500.000.000;5.000.000.000;5.9;10/11/2021
74;4;30;59;500.000;9.999.999;0;10/11/2021
75;4;30;59;10.000.000;19.999.999;0;10/11/2021
76;4;30;59;20.000.000;49.999.999;0;10/11/2021
77;4;30;59;50.000.000;50.000.000.000;0;10/11/2021
78;4;60;89;500.000;9.999.999;0;10/11/2021
79;4;60;89;10.000.000;19.999.999;0;10/11/2021
80;4;60;89;20.000.000;49.999.999;0;10/11/2021
81;4;60;89;50.000.000;50.000.000.000;0;10/11/2021
82;4;90;119;500.000;9.999.999;1.4;10/11/2021
83;4;90;119;10.000.000;19.999.999;1.6;10/11/2021
84;4;90;119;20.000.000;49.999.999;1.85;10/11/2021
85;4;90;119;50.000.000;50.000.000.000;2;10/11/2021
86;4;120;179;500.000;9.999.999;1.75;10/11/2021
87;4;120;179;10.000.000;19.999.999;1.95;10/11/2021
88;4;120;179;20.000.000;49.999.999;2.2;10/11/2021
89;4;120;179;50.000.000;50.000.000.000;2.35;10/11/2021
90;4;180;269;500.000;9.999.999;2.05;10/11/2021
91;4;180;269;10.000.000;19.999.999;2.25;10/11/2021
92;4;180;269;20.000.000;49.999.999;2.5;10/11/2021
93;4;180;269;50.000.000;50.000.000.000;2.65;10/11/2021
94;4;270;539;500.000;9.999.999;2.5;10/11/2021
95;4;270;539;10.000.000;19.999.999;2.7;10/11/2021
96;4;270;539;20.000.000;49.999.999;3;10/11/2021
97;4;270;539;50.000.000;50.000.000.000;3.15;10/11/2021
98;4;540;719;500.000;9.999.999;3.75;10/11/2021
99;4;540;719;10.000.000;19.999.999;3.95;10/11/2021
100;4;540;719;20.000.000;49.999.999;4.25;10/11/2021
101;4;540;719;50.000.000;50.000.000.000;4.4;10/11/2021
102;4;720;7200;500.000;9.999.999;4.2;10/11/2021
103;4;720;7200;10.000.000;19.999.999;4.4;10/11/2021
104;4;720;7200;20.000.000;49.999.999;4.7;10/11/2021
105;4;720;7200;50.000.000;50.000.000.000;4.85;10/11/2021
106;5;30;59;200.000;9.999.999;1.65;10/11/2021
107;5;30;59;10.000.000;100.000.000;1.7;10/11/2021
108;5;30;59;100.000.000;100.000.000.000;1.9;10/11/2021
109;5;60;89;200.000;9.999.999;1.8;10/11/2021
110;5;60;89;10.000.000;100.000.000;1.9;10/11/2021
111;5;60;89;100.000.000;100.000.000.000;2.05;10/11/2021
112;5;90;119;200.000;9.999.999;2.1;10/11/2021
113;5;90;119;10.000.000;100.000.000;2.1;10/11/2021
114;5;90;119;100.000.000;100.000.000.000;2.15;10/11/2021
115;5;120;179;200.000;9.999.999;2.2;10/11/2021
116;5;120;179;10.000.000;100.000.000;2.23;10/11/2021
117;5;120;179;100.000.000;100.000.000.000;2.24;10/11/2021
118;5;180;359;200.000;9.999.999;2.8;10/11/2021
119;5;180;359;10.000.000;100.000.000;2.8;10/11/2021
120;5;180;359;100.000.000;100.000.000.000;2.9;10/11/2021
121;5;360;360;200.000;9.999.999;3.7;10/11/2021
122;5;360;360;10.000.000;100.000.000;3.7;10/11/2021
123;5;360;360;100.000.000;100.000.000.000;3.8;10/11/2021
124;6;60;89;500.000;9.999.999;0.7;10/11/2021
125;6;60;89;10.000.000;39.999.999;0.7;10/11/2021
126;6;60;89;40.000.000;99.999.999;0.7;10/11/2021
127;6;60;89;100.000.000;199.999.999;0.7;10/11/2021
128;6;60;89;200.000.000;499.999.999;0.7;10/11/2021
129;6;60;89;500.000.000;500.000.000;0.7;10/11/2021
130;6;90;179;500.000;9.999.999;1.9;10/11/2021
131;6;90;179;10.000.000;39.999.999;1.95;10/11/2021
132;6;90;179;40.000.000;99.999.999;2;10/11/2021
133;6;90;179;100.000.000;199.999.999;2.05;10/11/2021
134;6;90;179;200.000.000;499.999.999;2.05;10/11/2021
135;6;90;179;500.000.000;10.000.000.000;2.1;10/11/2021
136;6;180;359;500.000;9.999.999;2.3;10/11/2021
137;6;180;359;10.000.000;39.999.999;2.3;10/11/2021
138;6;180;359;40.000.000;99.999.999;2.35;10/11/2021
139;6;180;359;100.000.000;199.999.999;2.4;10/11/2021
140;6;180;359;200.000.000;499.999.999;2.4;10/11/2021
141;6;180;359;500.000.000;10.000.000.000;2.45;10/11/2021
142;6;360;539;500.000;9.999.999;2.85;10/11/2021
143;6;360;539;10.000.000;39.999.999;2.85;10/11/2021
144;6;360;539;40.000.000;99.999.999;2.9;10/11/2021
145;6;360;539;100.000.000;199.999.999;3;10/11/2021
146;6;360;539;200.000.000;499.999.999;3;10/11/2021
147;6;360;539;500.000.000;10.000.000.000;3.1;10/11/2021
148;6;540;540;500.000;9.999.999;2.9;10/11/2021
149;6;540;540;10.000.000;39.999.999;2.9;10/11/2021
150;6;540;540;40.000.000;99.999.999;2.95;10/11/2021
151;6;540;540;100.000.000;199.999.999;3.05;10/11/2021
152;6;540;540;200.000.000;499.999.999;3.05;10/11/2021
153;6;540;540;500.000.000;10.000.000.000;3.15;10/11/2021
154;7;30;55;500.000;50.000.000;0.01;10/11/2021
155;7;30;55;50.000.000;99.999.999;0.01;10/11/2021
156;7;30;55;100.000.000;499.999.999;0.01;10/11/2021
157;7;30;55;500.000.000;50.000.000.000;0.01;10/11/2021
158;7;56;85;500.000;50.000.000;0.7;10/11/2021
159;7;56;85;50.000.000;99.999.999;0.75;10/11/2021
160;7;56;85;100.000.000;499.999.999;0.8;10/11/2021
161;7;56;85;500.000.000;50.000.000.000;0.85;10/11/2021
162;7;86;115;500.000;50.000.000;2.45;10/11/2021
163;7;86;115;50.000.000;99.999.999;2.5;10/11/2021
164;7;86;115;100.000.000;499.999.999;2.55;10/11/2021
165;7;86;115;500.000.000;50.000.000.000;2.6;10/11/2021
166;7;116;140;500.000;50.000.000;2.55;10/11/2021
167;7;116;140;50.000.000;99.999.999;2.6;10/11/2021
168;7;116;140;100.000.000;499.999.999;2.65;10/11/2021
169;7;116;140;500.000.000;50.000.000.000;2.7;10/11/2021
170;7;141;185;500.000;50.000.000;2.95;10/11/2021
171;7;141;185;50.000.000;99.999.999;3;10/11/2021
172;7;141;185;100.000.000;499.999.999;3.05;10/11/2021
173;7;141;185;500.000.000;50.000.000.000;3.1;10/11/2021
174;7;186;355;500.000;50.000.000;3.15;10/11/2021
175;7;186;355;50.000.000;99.999.999;3.2;10/11/2021
176;7;186;355;100.000.000;499.999.999;3.25;10/11/2021
177;7;186;355;500.000.000;50.000.000.000;3.3;10/11/2021
178;7;356;539;500.000;50.000.000;4.1;10/11/2021
179;7;356;539;50.000.000;99.999.999;4.15;10/11/2021
180;7;356;539;100.000.000;499.999.999;4.2;10/11/2021
181;7;356;539;500.000.000;50.000.000.000;4.25;10/11/2021
182;7;540;719;500.000;50.000.000;5;10/11/2021
183;7;540;719;50.000.000;99.999.999;5.05;10/11/2021
184;7;540;719;100.000.000;499.999.999;5.1;10/11/2021
185;7;540;719;500.000.000;50.000.000.000;5.15;10/11/2021
186;7;720;1440;500.000;50.000.000;5.65;10/11/2021
187;7;720;1440;50.000.000;99.999.999;5.7;10/11/2021
188;7;720;1440;100.000.000;499.999.999;5.75;10/11/2021
189;7;720;1440;500.000.000;50.000.000.000;5.8;10/11/2021
1910;8;30;59;250.000;20.000.000;0;10/11/2021
1911;8;60;89;250.000;20.000.000;0;10/11/2021
1912;8;90;119;250.000;20.000.000;3;10/11/2021
191;8;120;149;250.000;20.000.000;3;10/11/2021
192;8;150;179;250.000;20.000.000;3.5;10/11/2021
193;8;180;209;250.000;20.000.000;3.95;10/11/2021
194;8;210;239;250.000;20.000.000;4.1;10/11/2021
195;8;240;269;250.000;20.000.000;4.2;10/11/2021
196;8;270;359;250.000;20.000.000;4.4;10/11/2021
197;8;360;539;250.000;20.000.000;4.8;10/11/2021
198;8;540;719;250.000;20.000.000;5.4;10/11/2021
199;8;720;1079;250.000;20.000.000;5.9;10/11/2021
200;8;1080;10800;250.000;20.000.000;6.2;10/11/2021
1913;8;30;59;20.000.001;100.000.000;0;10/11/2021
1914;8;60;89;20.000.001;100.000.000;0;10/11/2021
201;8;90;119;20.000.001;100.000.000;3;10/11/2021
202;8;120;149;20.000.001;100.000.000;3;10/11/2021
203;8;150;179;20.000.001;100.000.000;3.6;10/11/2021
204;8;180;209;20.000.001;100.000.000;4.05;10/11/2021
205;8;210;239;20.000.001;100.000.000;4.2;10/11/2021
206;8;240;269;20.000.001;100.000.000;4.3;10/11/2021
207;8;270;359;20.000.001;100.000.000;4.5;10/11/2021
208;8;360;539;20.000.001;100.000.000;4.9;10/11/2021
209;8;540;719;20.000.001;100.000.000;5.5;10/11/2021
210;8;720;1079;20.000.001;100.000.000;6;10/11/2021
211;8;1080;10800;20.000.001;100.000.000;6.3;10/11/2021
1915;8;30;59;100.000.001;500.000.000;0;10/11/2021
1916;8;60;89;100.000.001;500.000.000;0;10/11/2021
212;8;90;119;100.000.001;500.000.000;3;10/11/2021
213;8;120;149;100.000.001;500.000.000;3;10/11/2021
214;8;150;179;100.000.001;500.000.000;3.65;10/11/2021
215;8;180;209;100.000.001;500.000.000;4.1;10/11/2021
216;8;210;239;100.000.001;500.000.000;4.25;10/11/2021
217;8;240;269;100.000.001;500.000.000;4.35;10/11/2021
218;8;270;359;100.000.001;500.000.000;4.55;10/11/2021
219;8;360;539;100.000.001;500.000.000;4.95;10/11/2021
220;8;540;719;100.000.001;500.000.000;5.55;10/11/2021
221;8;720;1079;100.000.001;500.000.000;6.05;10/11/2021
222;8;1080;10800;100.000.001;500.000.000;6.35;10/11/2021
1917;8;30;59;500.000.001;5.000.000.000;0;10/11/2021
1918;8;60;89;500.000.001;5.000.000.000;0;10/11/2021
223;8;90;119;500.000.001;5.000.000.000;3;10/11/2021
224;8;120;149;500.000.001;5.000.000.000;3;10/11/2021
225;8;150;179;500.000.001;5.000.000.000;3.7;10/11/2021
226;8;180;209;500.000.001;5.000.000.000;4.15;10/11/2021
227;8;210;239;500.000.001;5.000.000.000;4.3;10/11/2021
228;8;240;269;500.000.001;5.000.000.000;4.4;10/11/2021
229;8;270;359;500.000.001;5.000.000.000;4.6;10/11/2021
230;8;360;539;500.000.001;5.000.000.000;5;10/11/2021
231;8;540;719;500.000.001;5.000.000.000;5.6;10/11/2021
232;8;720;1079;500.000.001;5.000.000.000;6.1;10/11/2021
233;8;1080;10800;500.000.001;5.000.000.000;6.4;10/11/2021
234;9;30;59;500.000;10.000.000.000;0.11;10/11/2021
235;9;60;89;500.000;10.000.000.000;1.45;10/11/2021
236;9;90;119;500.000;10.000.000.000;3.25;10/11/2021
237;9;120;149;500.000;10.000.000.000;3.45;10/11/2021
238;9;150;179;500.000;10.000.000.000;3.6;10/11/2021
239;9;180;209;500.000;10.000.000.000;3.8;10/11/2021
240;9;210;239;500.000;10.000.000.000;3.85;10/11/2021
241;9;240;269;500.000;10.000.000.000;3.9;10/11/2021
242;9;270;299;500.000;10.000.000.000;4;10/11/2021
243;9;300;329;500.000;10.000.000.000;4.05;10/11/2021
244;9;330;359;500.000;10.000.000.000;4.1;10/11/2021
245;9;360;539;500.000;10.000.000.000;4.5;10/11/2021
246;9;540;719;500.000;10.000.000.000;5;10/11/2021
247;9;720;1440;500.000;10.000.000.000;5.5;10/11/2021
248;10;30;59;50.000;5.000.000;1;10/11/2021
249;10;30;59;5.000.001;20.000.000;1;10/11/2021
250;10;30;59;20.000.001;50.000.000;1;10/11/2021
251;10;30;59;50.000.001;150.000.000;1;10/11/2021
252;10;30;59;150.000.001;300.000.000;1;10/11/2021
253;10;30;59;300.000.001;300.000.001.000;1;10/11/2021
254;10;60;89;50.000;5.000.000;1.2;10/11/2021
255;10;60;89;5.000.001;20.000.000;1.2;10/11/2021
256;10;60;89;20.000.001;50.000.000;1.2;10/11/2021
257;10;60;89;50.000.001;150.000.000;1.2;10/11/2021
258;10;60;89;150.000.001;300.000.000;1.2;10/11/2021
259;10;60;89;300.000.001;300.000.001.000;1.2;10/11/2021
260;10;90;119;50.000;5.000.000;2.75;10/11/2021
261;10;90;119;5.000.001;20.000.000;2.8;10/11/2021
262;10;90;119;20.000.001;50.000.000;2.85;10/11/2021
263;10;90;119;50.000.001;150.000.000;2.9;10/11/2021
264;10;90;119;150.000.001;300.000.000;2.95;10/11/2021
265;10;90;119;300.000.001;300.000.001.000;3;10/11/2021
266;10;120;149;50.000;5.000.000;2.9;10/11/2021
267;10;120;149;5.000.001;20.000.000;2.95;10/11/2021
268;10;120;149;20.000.001;50.000.000;3;10/11/2021
269;10;120;149;50.000.001;150.000.000;3.05;10/11/2021
270;10;120;149;150.000.001;300.000.000;3.1;10/11/2021
271;10;120;149;300.000.001;300.000.001.000;3.15;10/11/2021
272;10;150;179;50.000;5.000.000;3.1;10/11/2021
273;10;150;179;5.000.001;20.000.000;3.15;10/11/2021
274;10;150;179;20.000.001;50.000.000;3.2;10/11/2021
275;10;150;179;50.000.001;150.000.000;3.25;10/11/2021
276;10;150;179;150.000.001;300.000.000;3.3;10/11/2021
277;10;150;179;300.000.001;300.000.001.000;3.35;10/11/2021
278;10;180;209;50.000;5.000.000;3.35;10/11/2021
279;10;180;209;5.000.001;20.000.000;3.4;10/11/2021
280;10;180;209;20.000.001;50.000.000;3.45;10/11/2021
281;10;180;209;50.000.001;150.000.000;3.5;10/11/2021
282;10;180;209;150.000.001;300.000.000;3.55;10/11/2021
283;10;180;209;300.000.001;300.000.001.000;3.6;10/11/2021
284;10;210;230;50.000;5.000.000;3.45;10/11/2021
285;10;210;230;5.000.001;20.000.000;3.5;10/11/2021
286;10;210;230;20.000.001;50.000.000;3.55;10/11/2021
287;10;210;230;50.000.001;150.000.000;3.6;10/11/2021
288;10;210;230;150.000.001;300.000.000;3.65;10/11/2021
289;10;210;230;300.000.001;300.000.001.000;3.7;10/11/2021
290;10;240;269;50.000;5.000.000;3.6;10/11/2021
291;10;240;269;5.000.001;20.000.000;3.65;10/11/2021
292;10;240;269;20.000.001;50.000.000;3.7;10/11/2021
293;10;240;269;50.000.001;150.000.000;3.75;10/11/2021
294;10;240;269;150.000.001;300.000.000;3.8;10/11/2021
295;10;240;269;300.000.001;300.000.001.000;3.85;10/11/2021
296;10;270;299;50.000;5.000.000;3.85;10/11/2021
297;10;270;299;5.000.001;20.000.000;3.9;10/11/2021
298;10;270;299;20.000.001;50.000.000;3.95;10/11/2021
299;10;270;299;50.000.001;150.000.000;4;10/11/2021
300;10;270;299;150.000.001;300.000.000;4.05;10/11/2021
301;10;270;299;300.000.001;300.000.001.000;4.1;10/11/2021
302;10;300;329;50.000;5.000.000;3.95;10/11/2021
303;10;300;329;5.000.001;20.000.000;4;10/11/2021
304;10;300;329;20.000.001;50.000.000;4.05;10/11/2021
305;10;300;329;50.000.001;150.000.000;4.1;10/11/2021
